"Q.u.","b","n","m"
"Q(0.1)",0.289292655974838,0.0675278765435884,0.488953136006392
"Q(0.2)",0.423128740377451,0.145211078047035,0.606906321923093
"Q(0.3)",0.537874230445955,0.236066641424143,0.700133316607938
"Q(0.4)",0.647538084715616,0.344586777025967,0.785771526745498
"Q(0.5)",0.759278123928826,0.477851129353464,0.871469367421288
"Q(0.6)",0.879468736012389,0.647911586182508,0.963463895129316
"Q(0.7)",1.01676326501001,0.877706707316864,1.06999511238534
"Q(0.8)",1.1877114566595,1.21944342929892,1.20706521840899
"Q(0.9)",1.44006319704957,1.84159017851213,1.42233679765452
